comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:30,Huevo,2.0,unit,140.0,12.0,1.0,10.0,0.0,Ligero pre-entreno
Desayuno,07:30,Pan integral (rebanada 50 g),1.0,slice,120.0,4.0,20.0,2.0,3.0,
Desayuno,07:30,Plátano,1.0,unit,105.0,1.3,27.0,0.4,3.1,
Post-entreno mañana,09:45,Proteína aislada (whey) sin lactosa,38.9,g polvo,150.4,35.0,1.6,0.47,0.0,Aislado sin lactosa
Post-entreno mañana,09:45,Avena (en batido),45.0,g,171.0,5.9,28.4,3.1,4.5,Añadir al batido
Post-entreno mañana,09:45,Leche de almendra sin azúcar,300.0,ml,39.0,1.5,0.9,3.3,0.6,
Post-entreno mañana,09:45,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Diaria (AM)
Comida,14:00,Salmón,170.0,g,353.6,34.0,0.0,22.1,0.0,
Comida,14:00,Quinoa (en crudo),90.0,g (en crudo),33120.0,1260.0,5760.0,549.0,630.0,
Comida,14:00,Calabacín,200.0,g,34.0,2.4,6.2,0.6,2.0,Sin cebolla
Comida,14:00,Pimiento rojo,150.0,g,46.5,1.5,9.0,0.4,3.2,Sin cebolla
Comida,14:00,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
Merienda,17:30,Pan integral (rebanada 50 g),2.0,slice,240.0,8.0,40.0,4.0,6.0,Bocadillo
Merienda,17:30,Pechuga de pavo (fiambre magro),80.0,g,128.0,23.2,0.0,2.4,0.0,Equivalente fiambre magro
Merienda,17:30,Aguacate,50.0,g,80.0,1.0,4.5,7.5,3.5,Untado
Post-cardio tarde,19:30,Proteína aislada (whey) sin lactosa,22.2,g polvo,86.0,20.0,0.9,0.27,0.0,Aislado sin lactosa
Post-cardio tarde,19:30,Avena (en batido),35.0,g,133.0,4.5,22.0,2.4,3.5,Añadir al batido
Post-cardio tarde,19:30,Leche de almendra sin azúcar,250.0,ml,32.5,1.2,0.8,2.8,0.5,
Comida,21:30,Merluza,180.0,g,162.0,36.0,0.0,1.8,0.0,
Comida,21:30,Arroz integral (en crudo),100.0,g (en crudo),36500.0,750.0,7400.0,290.0,350.0,
Comida,21:30,Espárragos,150.0,g,30.0,3.3,5.8,0.2,3.2,Sin cebolla
Comida,21:30,Champiñón,150.0,g,33.0,4.7,4.9,0.4,1.5,Sin cebolla
Comida,21:30,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
TOTAL,,—,,,71884.0,2209.5,13333.0,923.1,1014.6,
