comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:30,Huevo,2.0,unit,140.0,12.0,1.0,10.0,0.0,Ligero pre-entreno
Desayuno,07:30,Pan integral (rebanada 50 g),1.0,slice,120.0,4.0,20.0,2.0,3.0,
Desayuno,07:30,Plátano,1.0,unit,105.0,1.3,27.0,0.4,3.1,
Post-entreno mañana,09:45,Proteína aislada (whey) sin lactosa,38.9,g polvo,150.4,35.0,1.6,0.47,0.0,Aislado sin lactosa
Post-entreno mañana,09:45,Avena (en batido),45.0,g,171.0,5.9,28.4,3.1,4.5,Añadir al batido
Post-entreno mañana,09:45,Leche de almendra sin azúcar,300.0,ml,39.0,1.5,0.9,3.3,0.6,
Post-entreno mañana,09:45,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Diaria (AM)
Comida,14:00,Pechuga de pollo,170.0,g,280.5,52.7,0.0,6.1,0.0,
Comida,14:00,Arroz integral (en crudo),110.0,g (en crudo),40150.0,825.0,8140.0,319.0,385.0,
Comida,14:00,Ensalada mixta,200.0,g,40.0,2.7,8.0,0.4,4.0,Sin cebolla
Comida,14:00,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
Merienda,17:30,Yogur sin lactosa,200.0,g,120.0,10.0,10.0,3.0,0.0,
Merienda,17:30,Almendras,30.0,g,174.0,6.0,6.0,15.0,3.5,
Merienda,17:30,Pera,1.0,unit,101.0,0.6,27.0,0.3,5.5,
Post-cardio tarde,19:30,Proteína aislada (whey) sin lactosa,22.2,g polvo,86.0,20.0,0.9,0.27,0.0,Aislado sin lactosa
Post-cardio tarde,19:30,Avena (en batido),35.0,g,133.0,4.5,22.0,2.4,3.5,Añadir al batido
Post-cardio tarde,19:30,Leche de almendra sin azúcar,250.0,ml,32.5,1.2,0.8,2.8,0.5,
Comida,21:30,Salmón,170.0,g,353.6,34.0,0.0,22.1,0.0,
Comida,21:30,Patata (en crudo),330.0,g (en crudo),25410.0,660.0,5610.0,33.0,726.0,
Comida,21:30,Brócoli cocido,180.0,g,63.0,4.3,12.6,0.7,5.9,Sin cebolla
Comida,21:30,Zanahoria,100.0,g,41.0,0.9,10.0,0.2,2.8,Sin cebolla
Comida,21:30,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
TOTAL,,—,,,67890.0,1681.6,13926.2,444.5,1147.9,
