comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4,14,1,2,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3,4,2,0,
Batido post-entreno,10:00,Whey protein (2 scoops),60,g,233.3,48,4,2.7,0,
Batido post-entreno,10:00,Crema de arroz,40,g,146.8,2.8,33.2,0.4,0.4,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Garbanzos cocidos,160,g,240,14.4,35.2,4.8,9.6,Con espinacas
Comida,13:00,Espinacas,100,g,23,2.9,3.6,0.4,2.2,
Comida,13:00,Pechuga de pollo plancha,150,g,247.5,46.5,0,5.4,0,Para completar proteina
Comida,13:00,AOVE,7,ml,61.9,0,0,7,0,
Snack pre-cardio,16:30,Yogur sin lactosa natural,125,g,55,5,6,1.5,0,Kaiku o Hacendado
Snack pre-cardio,16:30,Almendras,20,g,115.8,4.2,4.3,9.9,2.5,Porcion aumentada
Snack pre-cardio,16:30,Manzana,1,unit,80,0.5,21,0.3,3.5,
Post-cardio,18:00,Pavo en lonchas,120,g,126,25.2,1.2,1.8,0,
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Salmon plancha,140,g,291.2,28,0,18.2,0,
Cena,20:30,Boniato al horno,130,g,111.8,2.1,26,0.1,3.9,
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,25.5,1.5,4.1,0.5,2,Sin cebolla
Cena,20:30,AOVE,5,ml,44.2,0,0,5,0,
TOTAL,,—,,,2200,203.1,189.7,72,32.2,
